item,cumulative cost
registration 2019,($154.00)
registration 2020,($143.00)
registration 2021,($146.00)
registration 2022,($148.00)
registration 2023,($152.00)
registration 2024,($166.00)
registration 2025,($164.74)
smog check,($265.00)
dashcam,($354.00)
extra keys,($27.00)
thule cross bars,($207.00)
tires,($1155.00)
timing belt kit,($337.00)
accessory belt,($19.00)
ac belt,($40.00)
idler pulley,($21.00)
pedders struts,($674.00)
power steering fluid,($10.00)
transmission fluid,($65.00)
coolant,($256.00)
oil,($623.00)
oil filter,($166.00)
alternators,($356.00)
a/c compressor,($351.00)
freon,($59.00)
air fuel sensor,($159.00)
air filter,($18.50)
fuel filter,($31.00)
spark plugs,($72.00)
brake fluid,($42.00)
wax,($7.00)
obd ii reader,($33.00)
batteries,($500.00)
valve gasket kit,($151.00)
power steering assembly,($402.00)
power steering fluid,($32.00)
rear axles,($114.00)
radiator,($127.00)
radiator hoses,($52.00)
radiator cap,($16.00)
thermostat,($32.00)
bulbs n shit,($130.00)
fasteners kit,($10.00)
windshield wipers,($58.00)
transmission drain plugs / rock auto order,($600.00)
helicoil tap kit,($30.00)
fuel injectors,($273.44)
garage one diagnostic labor,($380.00)
wheel alignment labor,($298.00)
timing belt labor,($350.00)
strut & alignment labor,($500.00)
windshield labor,($50.00)
oil & filter labor,($360.00)
battery labor,($20.00)
accessory & ac belt labor,($40.00)
alternator labor,($120.00)
tire rotation & alignment labor,($105.00)
fuel filter / brake / clutch fluid flush labor,($130.00)
a/c compressor / spark plugs labor,($600.00)
air fuel sensor labor,($80.00)
top hats / front axle / end links labor & parts,($1632.00)
radiator replacement & air filter labor,($260.00)
fluid flushes labor,($260.00)
rear axles labor,($500.00)
valve cover / power steering / spark plugs labor,($400.00)
wash / wash / clay fail / wax labor,($100.00)
griots synthetic clay,($20.00)
clutch replacement & flywheel replacement labor,($1667.00)
alternator and battery labor,($300.00)
timing belt kit / water pump / serpentine belt / coolant flush / spark plugs / ignition coil / fuel filter / tranny front back fluid labor,($900.00)
m6 helicoil redrill / coolant again labor,($200.00)
fuel injector and ignition coil again labor,($300.00)
top end / bottom end / new engine labor and parts,($8000.00)
dad helped me cover this cost ❤️,$8000.00
